metric,type,value
http_req_waiting,trend,"max=1060.715459"
http_req_waiting,trend,"p(90)=558.4557378000001"
http_req_waiting,trend,"p(95)=606.5854125000001"
http_req_waiting,trend,"avg=432.9243724694086"
http_req_waiting,trend,"min=273.513583"
http_req_waiting,trend,"med=408.494646"
data_sent,counter,"count=464462"
data_sent,counter,"rate=2565.5442513964767"
vus,gauge,"value=4"
vus,gauge,"min=4"
vus,gauge,"max=16"
iterations,counter,"count=1994"
iterations,counter,"rate=11.014238489444937"
http_req_connecting,trend,"p(95)=0"
http_req_connecting,trend,"avg=8.331699624874624"
http_req_connecting,trend,"min=0"
http_req_connecting,trend,"med=0"
http_req_connecting,trend,"max=2039.971626"
http_req_connecting,trend,"p(90)=0"
http_req_tls_handshaking,trend,"med=0"
http_req_tls_handshaking,trend,"max=95.423208"
http_req_tls_handshaking,trend,"p(90)=0"
http_req_tls_handshaking,trend,"p(95)=0"
http_req_tls_handshaking,trend,"avg=0.48786273219658977"
http_req_tls_handshaking,trend,"min=0"
checks,rate,"fails=0"
checks,rate,"rate=1"
checks,rate,"passes=1994"
http_req_receiving,trend,"min=0.017584"
http_req_receiving,trend,"med=0.1362915"
http_req_receiving,trend,"max=310.957917"
http_req_receiving,trend,"p(90)=0.3091126"
http_req_receiving,trend,"p(95)=0.8083748999999999"
http_req_receiving,trend,"avg=0.9140874518555661"
vus_max,gauge,"value=16"
vus_max,gauge,"min=16"
vus_max,gauge,"max=16"
http_req_blocked,trend,"avg=10.872572486960793"
http_req_blocked,trend,"min=0.000166"
http_req_blocked,trend,"med=0.0015"
http_req_blocked,trend,"max=2331.552585"
http_req_blocked,trend,"p(90)=0.002708"
http_req_blocked,trend,"p(95)=0.002958"
http_req_sending,trend,"min=0.04775"
http_req_sending,trend,"med=0.308083"
http_req_sending,trend,"max=2.268917"
http_req_sending,trend,"p(90)=0.5488456"
http_req_sending,trend,"p(95)=0.62187905"
http_req_sending,trend,"avg=0.33084547893681077"
http_req_failed,rate,"rate=0"
http_req_failed,rate,"passes=0"
http_req_failed,rate,"fails=1994"
http_req_duration,trend,"min=273.737125"
http_req_duration,trend,"med=409.906563"
http_req_duration,trend,"max=1061.375917"
http_req_duration,trend,"p(90)=564.8536538000001"
http_req_duration,trend,"p(95)=607.3319722"
http_req_duration,trend,"avg=434.1693054001998"
iteration_duration,trend,"avg=1448.1370497241726"
iteration_duration,trend,"min=1277.242042"
iteration_duration,trend,"med=1413.2745005000002"
iteration_duration,trend,"max=3876.011252"
iteration_duration,trend,"p(90)=1572.5794042999999"
iteration_duration,trend,"p(95)=1621.06147315"
data_received,counter,"count=1618386"
data_received,counter,"rate=8939.463075215062"
http_reqs,counter,"count=1994"
http_reqs,counter,"rate=11.014238489444937"
http_req_duration{expected_response:true},trend,"med=409.906563"
http_req_duration{expected_response:true},trend,"max=1061.375917"
http_req_duration{expected_response:true},trend,"p(90)=564.8536538000001"
http_req_duration{expected_response:true},trend,"p(95)=607.3319722"
http_req_duration{expected_response:true},trend,"avg=434.1693054001998"
http_req_duration{expected_response:true},trend,"min=273.737125"
